student_code	school_code	benchmark_test_code	test_score
104058896	NULL	G7DBA_ELA_2013-04-01	52.78
104249487	NULL	G7Math_2013-04-01	19.44
104043377	NULL	G7Math_2013-04-01	83.33
103423190	NULL	G8MathP_2013-04-01	36.12
857834980	NULL	G6DBA_ELA_2013-04-01	24.32
836847228	NULL	G5DBA_ELA_2013-04-01	58.82
161641337	NULL	G6Math_2013-04-01	57.58
661194449	NULL	G5Math_2013-04-01	84.21
970061687	NULL	G5DBA_ELA_2013-04-01	64.71
970044764	NULL	Geom_2013-04-01	57.14
970036917	NULL	G7DBA_ELA_2013-04-01	19.44
103459038	NULL	G8PDBA_ELA_2013-04-01	45.65
104587324	NULL	G6DBA_ELA_2013-04-01	59.46
456529643	NULL	G8Math_2013-04-01	41.94
631646577	NULL	G5DBA_ELA_2013-04-01	41.18
970089102	NULL	G6DBA_ELA_2013-04-01	78.38
103773156	NULL	G4DBA_ELA_2013-04-01	70.97
970099041	NULL	G4MathS_2013-04-01	22.73
104089875	NULL	G7Math_2013-04-01	94.44
970029834	NULL	G4DBA_ELA_2013-04-01	58.06
970023246	NULL	G7Math_2013-04-01	33.33
104228259	NULL	G7Math_2013-04-01	66.67
104572060	NULL	G6DBA_ELA_2013-04-01	89.19
104114145	NULL	G6Math_2013-04-01	48.48
104178728	NULL	G7DBA_ELA_2013-04-01	38.89
883447153	NULL	G5DBA_ELA_2013-04-01	64.71
970095793	NULL	G4DBA_ELA_2013-04-01	35.48
745545897	NULL	G5Math_2013-04-01	78.95
104316948	NULL	G6Math_2013-04-01	69.70
970060657	NULL	G4Math_2013-04-01	68.18
103463741	NULL	G8Math_2013-04-01	54.84
104042874	NULL	G7DBA_ELA_2013-04-01	47.22
104543194	NULL	G4Math_2013-04-01	90.91
104249396	NULL	G7Math_2013-04-01	47.22
102774981	NULL	G9DBA_ELA_2013-04-01	41.18
104624325	NULL	G6Math_2013-04-01	84.85
104657085	NULL	G6DBA_ELA_2013-04-01	78.38
103433629	NULL	G8DBA_ELA_2013-04-01	87.88
102934155	NULL	G9DBA_ELA_2013-04-01	58.82
104495957	NULL	G8DBA_ELA_2013-04-01	72.73
970032396	NULL	G4DBA_ELA_2013-04-01	41.94
970067321	NULL	G5MathS_2013-04-01	42.11
833831811	NULL	G8DBA_ELA_2013-04-01	51.52
103441663	NULL	G7DBA_ELA_2013-04-01	77.78
267275667	NULL	G5DBA_ELA_2013-04-01	64.71
100054337	NULL	G10DBA_ELA_2013-04-01	64.71
104582630	NULL	G6Math_2013-04-01	36.36
104653803	NULL	G6Math_2013-04-01	69.70
970018361	NULL	G4Math_2013-04-01	45.45
100097112	NULL	Geom_2013-04-01	68.57
970065790	NULL	G5DBA_ELA_2013-04-01	20.59
103476776	NULL	G8DBA_ELA_2013-04-01	81.82
103474334	NULL	G7Math_2013-04-01	47.22
103442125	NULL	G8DBA_ELA_2013-04-01	45.45
970096351	NULL	Alg1_2013-04-01	41.18
102950136	NULL	G9DBA_ELA_2013-04-01	41.18
100009257	NULL	G10DBA_ELA_2013-04-01	29.41
265222695	NULL	G5Math_2013-04-01	42.11
879583557	NULL	G5DBA_ELA_2013-04-01	35.29
213936271	NULL	G5Math_2013-04-01	63.16
970058862	NULL	G8DBA_ELA_2013-04-01	36.36
179551155	NULL	G6Math_2013-04-01	60.61
392822383	NULL	G8Math_2013-04-01	29.03
854554722	NULL	G6DBA_ELA_2013-04-01	24.32
970007032	NULL	G6DBA_ELA_2013-04-01	59.46
103424891	NULL	G8MathP_2013-04-01	73.24
125646893	NULL	G5DBA_ELA_2013-04-01	47.06
103453106	NULL	Alg1_2013-04-01	55.88
970035113	NULL	G4Math_2013-04-01	50.00
